🇨🇳央视频道,#genre#
辽宁卫视,rtsp://222.161.239.170:554/PLTV/88888888/224/3221226055/10000100000000060000000015417309_0.smil
黑龙江卫视,rtsp://222.161.239.170:554/PLTV/88888888/224/3221225817/10000100000000060000000014274982_0.smil
江苏卫视,rtsp://222.161.239.171:554/PLTV/88888888/224/3221225873/10000100000000060000000014817978_0.smil
浙江卫视,rtsp://222.161.239.171:554/PLTV/88888888/224/3221226069/10000100000000060000000015417300_0.smil
东方卫视,rtsp://222.161.239.171:554/PLTV/88888888/224/3221225786/10000100000000060000000014995744_0.smil
东南卫视,rtsp://222.161.239.171:554/PLTV/88888888/224/3221225788/10000100000000060000000014995757_0.smil
湖南卫视,rtsp://222.161.239.171:554/PLTV/88888888/224/3221225813/10000100000000060000000014274977_0.smil
湖南卫视-金鹰卡通,rtsp://222.161.239.171:554/PLTV/88888888/224/3221226243/10000100000000060000000016498635_0.smil
湖南卫视-金鹰纪实,rtsp://222.161.239.170:554/PLTV/88888888/224/3221226053/10000100000000060000000015417310_0.smil
湖南卫视-快乐垂钓,rtsp://139.215.98.88/PLTV/88888888/224/3221226215/10000100000000060000000015948526_0.smil
湖南卫视-茶频道,rtsp://139.215.98.88/PLTV/88888888/224/3221225874/10000100000000060000000015948529_0.smil
湖北卫视,rtsp://222.161.239.171:554/PLTV/88888888/224/3221225823/10000100000000060000000014274985_0.smil
深圳卫视,rtsp://222.161.239.170:554/PLTV/88888888/224/3221225819/10000100000000060000000014274983_0.smil
广东卫视,rtsp://222.161.239.170:554/PLTV/88888888/224/3221225815/10000100000000060000000014274978_0.smil
广东卫视-嘉佳卡通,rtsp://222.161.239.171:554/PLTV/88888888/224/3221225741/10000100000000060000000014253765_0.smil
广西卫视,rtsp://222.161.239.171:554/PLTV/88888888/224/3221226041/10000100000000060000000015242277_0.smil
山东卫视,rtsp://222.161.239.171:554/PLTV/88888888/224/3221225821/10000100000000060000000014274984_0.smil
山西卫视,rtsp://222.161.239.170:554/PLTV/88888888/224/3221225540/10000100000000060000000000029592_0.smil
重庆卫视,rtsp://222.161.239.170:554/PLTV/88888888/224/3221226059/10000100000000060000000015417306_0.smil
四川卫视,rtsp://222.161.239.170:554/PLTV/88888888/224/3221226073/10000100000000060000000015417297_0.smil
云南卫视,rtsp://222.161.239.171:554/PLTV/88888888/224/3221225765/10000100000000060000000014254015_0.smil
贵州卫视,rtsp://222.161.239.170:554/PLTV/88888888/224/3221226061/10000100000000060000000015417305_0.smil
河北卫视,rtsp://222.161.239.170:554/PLTV/88888888/224/3221226067/10000100000000060000000015417301_0.smil
河南卫视,rtsp://222.161.239.171:554/PLTV/88888888/224/3221226065/10000100000000060000000015417303_0.smil
河南卫视-梨园频道,rtsp://139.215.98.88/PLTV/88888888/224/3221225498/10000100000000060000000000029510_0.smil
河南卫视-武术世界,rtsp://139.215.98.88/PLTV/88888888/224/3221225534/10000100000000060000000000029589_0.smil
河南卫视-文物宝库,rtsp://139.215.98.88/PLTV/88888888/224/3221225554/10000100000000060000000000029616_0.smil
陕西卫视,rtsp://222.161.239.171:554/PLTV/88888888/224/3221225502/10000100000000060000000000029535_0.smil
江西卫视,rtsp://222.161.239.171:554/PLTV/88888888/224/3221226063/10000100000000060000000015417304_0.smil
安徽卫视,rtsp://222.161.239.171:554/PLTV/88888888/224/3221226057/10000100000000060000000015417308_0.smil
海南卫视,rtsp://222.161.239.171:554/PLTV/88888888/224/3221225568/10000100000000060000000000029657_0.smil
内蒙古卫视,rtsp://222.161.239.171:554/PLTV/88888888/224/3221225570/10000100000000060000000000029665_0.smil
西藏卫视,rtsp://222.161.239.171:554/PLTV/88888888/224/3221225544/10000100000000060000000000029594_0.smil
新疆卫视,rtsp://222.161.239.171:554/PLTV/88888888/224/3221225504/10000100000000060000000000029555_0.smil
青海卫视,rtsp://222.161.239.171:554/PLTV/88888888/224/3221225562/10000100000000060000000000029646_0.smil
甘肃卫视,rtsp://222.161.239.171:554/PLTV/88888888/224/3221226031/10000100000000060000000015242272_0.smil
宁夏卫视,rtsp://222.161.239.171:554/PLTV/88888888/224/3221225739/10000100000000060000000014251669_0.smil
兵团卫视,rtsp://222.161.239.171:554/PLTV/88888888/224/3221225546/10000100000000060000000000029595_0.smil
三沙卫视,rtsp://222.161.239.170:554/PLTV/88888888/224/3221225870/10000100000000060000000015811900_0.smil
🏕地方频道,#genre#
长春-1 综合,rtsp://222.161.239.171:554/PLTV/88888888/224/3221225630/10000100000000060000000014292013_0.smil
长春-2 文旅体育,rtsp://222.161.218.146:554/PLTV/88888888/224/3221225632/10000100000000060000000014292014_0.smil
长春-3 市民生活,rtsp://222.161.239.171:554/PLTV/88888888/224/3221225634/10000100000000060000000014292015_0.smil
双阳,rtsp://139.215.98.88/PLTV/88888888/224/3221225884/10000100000000060000000015948511_0.smil
农安,rtsp://139.215.98.88/PLTV/88888888/224/3221226049/10000100000000060000000015417315_0.smil
吉林市-1 新闻综合,rtsp://139.215.98.88/PLTV/88888888/224/3221225832/10000100000000060000000015046808_0.smil
吉林市-2 科教,rtsp://139.215.98.88/PLTV/88888888/224/3221225830/10000100000000060000000015046809_0.smil
吉林市-3 生活,rtsp://139.215.98.88/PLTV/88888888/224/3221225828/10000100000000060000000015046810_0.smil
桦甸,rtsp://222.161.218.244:554/PLTV/88888888/224/3221225537/10000100000000060000000000030285_0.smil
磐石,rtsp://139.215.98.88/PLTV/88888888/224/3221226123/10000100000000060000000015417314_0.smil
舒兰,rtsp://139.215.98.88/PLTV/88888888/224/3221226193/10000100000000060000000015585157_0.smil
蛟河,rtsp://139.215.98.88/PLTV/88888888/224/3221226225/10000100000000060000000016079780_0.smil
四平-1,rtsp://139.215.98.88/PLTV/88888888/224/3221225836/10000100000000060000000015047482_0.smil
四平-2,rtsp://139.215.98.88/PLTV/88888888/224/3221225834/10000100000000060000000015047483_0.smil
双辽,rtsp://139.215.98.88/PLTV/88888888/224/3221226113/10000100000000060000000015446246_0.smil
伊通,rtsp://139.215.98.88/PLTV/88888888/224/3221226109/10000100000000060000000015446249_0.smil
公主岭,rtsp://139.215.98.88/PLTV/88888888/224/3221226111/10000100000000060000000015446248_0.smil
梨树,rtsp://139.215.98.88/PLTV/88888888/224/3221226115/10000100000000060000000015446243_0.smil
辽源-1,rtsp://139.215.98.88/PLTV/88888888/224/3221225822/10000100000000060000000015046813_0.smil
辽源-2,rtsp://139.215.98.88/PLTV/88888888/224/3221225820/10000100000000060000000015046814_0.smil
东辽,rtsp://139.215.98.88/PLTV/88888888/224/3221226095/10000100000000060000000015446259_0.smil
东丰,rtsp://139.215.98.88/PLTV/88888888/224/3221226093/10000100000000060000000015446260_0.smil
通化-1,rtsp://139.215.98.88/PLTV/88888888/224/3221225842/10000100000000060000000015063095_0.smil
通化-2,rtsp://139.215.98.88/PLTV/88888888/224/3221225840/10000100000000060000000015063096_0.smil
通化-3,rtsp://139.215.98.88/PLTV/88888888/224/3221225838/10000100000000060000000015063097_0.smil
集安,rtsp://139.215.98.88/PLTV/88888888/224/3221226077/10000100000000060000000015417317_0.smil
梅河口,rtsp://139.215.98.88/PLTV/88888888/224/3221226105/10000100000000060000000015446252_0.smil
柳河,rtsp://139.215.98.88/PLTV/88888888/224/3221226107/10000100000000060000000015446251_0.smil
辉南,rtsp://139.215.98.88/PLTV/88888888/224/3221226103/10000100000000060000000015446254_0.smil
白山-1,rtsp://139.215.98.88/PLTV/88888888/224/3221225818/10000100000000060000000015046817_0.smil
白山-2,rtsp://139.215.98.88/PLTV/88888888/224/3221225816/10000100000000060000000015046818_0.smil
抚松,rtsp://139.215.98.88/PLTV/88888888/224/3221226187/10000100000000060000000015585160_0.smil
长白,rtsp://139.215.98.88/PLTV/88888888/224/3221226075/10000100000000060000000015417319_0.smil
临江,rtsp://139.215.98.88/PLTV/88888888/224/3221226189/10000100000000060000000015585159_0.smil
白城-1,rtsp://139.215.98.88/PLTV/88888888/224/3221225826/10000100000000060000000015046811_0.smil
白城-2,rtsp://139.215.98.88/PLTV/88888888/224/3221225824/10000100000000060000000015046812_0.smil
大安,rtsp://139.215.98.88/PLTV/88888888/224/3221226097/10000100000000060000000015446257_0.smil
洮南,rtsp://139.215.98.88/PLTV/88888888/224/3221226191/10000100000000060000000015585158_0.smil
镇赉,rtsp://139.215.98.88/PLTV/88888888/224/3221226101/10000100000000060000000015446255_0.smil
通榆,rtsp://139.215.98.88/PLTV/88888888/224/3221226099/10000100000000060000000015446256_0.smil
松原-1,rtsp://139.215.98.88/PLTV/88888888/224/3221226009/10000100000000060000000015046837_0.smil
松原-2,rtsp://139.215.98.88/PLTV/88888888/224/3221226087/10000100000000060000000015446264_0.smil
乾安,rtsp://139.215.98.88/PLTV/88888888/224/3221226089/10000100000000060000000015446263_0.smil
扶余,rtsp://139.215.98.88/PLTV/88888888/224/3221226091/10000100000000060000000015446262_0.smil
前郭,rtsp://139.215.98.88/PLTV/88888888/224/3221226079/10000100000000060000000015417318_0.smil
延边-1,rtsp://139.215.98.88/PLTV/88888888/224/3221226045/10000100000000060000000015259698_0.smil
延边-2,rtsp://139.215.98.88/PLTV/88888888/224/3221226047/10000100000000060000000015259697_0.smil
延吉,rtsp://139.215.98.88/PLTV/88888888/224/3221226117/10000100000000060000000015446242_0.smil
图们,rtsp://139.215.98.88/PLTV/88888888/224/3221226119/10000100000000060000000015446241_0.smil
敦化,rtsp://139.215.98.88/PLTV/88888888/224/3221225773/10000100000000060000000014254021_0.smil
汪清,rtsp://139.215.98.88/PLTV/88888888/224/3221226121/10000100000000060000000015446239_0.smil
🍉数字频道,#genre#
CETV-1,rtsp://222.161.239.171:554/PLTV/88888888/224/3221225995/10000100000000060000000015014636_0.smil
CETV-2,rtsp://222.161.239.171:554/PLTV/88888888/224/3221225785/10000100000000060000000014254035_0.smil
CETV-4,rtsp://222.161.239.171:554/PLTV/88888888/224/3221225775/10000100000000060000000014254024_0.smil
CHC动作电影,rtsp://222.161.239.171:554/PLTV/88888888/224/3221226201/10000100000000060000000015648520_0.smil
CHC影迷电影,rtsp://222.161.239.171:554/PLTV/88888888/224/3221225866/10000100000000060000000015648523_0.smil
CHC家庭影院,rtsp://139.215.98.88/PLTV/88888888/224/3221225864/10000100000000060000000015648524_0.smil
睛彩竞技,rtsp://222.161.239.171:554/PLTV/88888888/224/3221226025/10000100000000060000000015242255_0.smil
睛彩篮球,rtsp://222.161.239.171:554/PLTV/88888888/224/3221226035/10000100000000060000000015242274_0.smil
睛彩青少,rtsp://222.161.239.171:554/PLTV/88888888/224/3221226037/10000100000000060000000015242275_0.smil
睛彩广场舞,rtsp://222.161.239.171:554/PLTV/88888888/224/3221226039/10000100000000060000000015242276_0.smil
中央新影-发现之旅,rtsp://222.161.239.171:554/PLTV/88888888/224/3221225566/10000100000000060000000000029649_0.smil
中央新影-老故事,rtsp://222.161.239.171:554/PLTV/88888888/224/3221225827/10000100000000060000000014313391_0.smil
中央新影-中学生,rtsp://222.161.239.171:554/PLTV/88888888/224/3221225542/10000100000000060000000000029593_0.smil
中国交通,rtsp://222.161.239.171:554/PLTV/88888888/224/3221226195/10000100000000060000000015634735_0.smil
哈哈炫动,rtsp://222.161.239.171:554/PLTV/88888888/224/3221225574/10000100000000060000000000029709_0.smil
汽摩,rtsp://222.161.239.170:554/PLTV/88888888/224/3221225797/10000100000000060000000014254508_0.smil
环球奇观,rtsp://139.215.98.88/PLTV/88888888/224/3221225749/10000100000000060000000014254004_0.smil
国学频道,rtsp://222.161.239.170:554/PLTV/88888888/224/3221225781/10000100000000060000000014254032_0.smil
百姓健康,rtsp://222.161.239.171:554/PLTV/88888888/224/3221225872/10000100000000060000000015869926_0.smil
乐游,rtsp://139.215.98.88/PLTV/88888888/224/3221225882/10000100000000060000000015948514_0.smil
法治天地,rtsp://139.215.98.88/PLTV/88888888/224/3221225880/10000100000000060000000015948516_0.smil
金色学堂,rtsp://139.215.98.88/PLTV/88888888/224/3221226221/10000100000000060000000015948519_0.smil
生活时尚,rtsp://139.215.98.88/PLTV/88888888/224/3221225878/10000100000000060000000015948520_0.smil
都市剧场,rtsp://139.215.98.88/PLTV/88888888/224/3221226219/10000100000000060000000015948521_0.smil
动漫秀场,rtsp://139.215.98.88/PLTV/88888888/224/3221226217/10000100000000060000000015948524_0.smil
游戏风云,rtsp://139.215.98.88/PLTV/88888888/224/3221225876/10000100000000060000000015948525_0.smil
